StatisticsDate,TargetDiseaseCode,TargetDisease,VaccinationSeries,MeasurementType,LocationPopulation,DailyCount,TotalCount,PopulationCoverage
2020-12-27,219,COVID-19,1,DosesAdministered,1328976,191,191,
2020-12-27,219,COVID-19,1,FullyVaccinated,1328976,3,3,0
2020-12-27,219,COVID-19,1,Vaccinated,1328976,191,191,0.01
2020-12-27,219,COVID-19,2,DosesAdministered,1328976,0,0,
2020-12-27,219,COVID-19,2,FullyVaccinated,1328976,0,0,0
2020-12-27,219,COVID-19,3,DosesAdministered,1328976,0,0,
2020-12-27,219,COVID-19,3,FullyVaccinated,1328976,0,0,0
2020-12-27,219,COVID-19,4,DosesAdministered,1328976,0,0,
2020-12-27,219,COVID-19,4,FullyVaccinated,1328976,0,0,0
2020-12-28,219,COVID-19,1,DosesAdministered,1328976,318,509,
2020-12-28,219,COVID-19,1,FullyVaccinated,1328976,6,9,0
2020-12-28,219,COVID-19,1,Vaccinated,1328976,318,509,0.04
2020-12-28,219,COVID-19,2,DosesAdministered,1328976,0,0,
2020-12-28,219,COVID-19,2,FullyVaccinated,1328976,0,0,0
2020-12-28,219,COVID-19,3,DosesAdministered,1328976,0,0,
2020-12-28,219,COVID-19,3,FullyVaccinated,1328976,0,0,0
2020-12-28,219,COVID-19,4,DosesAdministered,1328976,0,0,
2020-12-28,219,COVID-19,4,FullyVaccinated,1328976,0,0,0
2020-12-29,219,COVID-19,1,DosesAdministered,1328976,367,876,
2020-12-29,219,COVID-19,1,FullyVaccinated,1328976,11,20,0
2020-12-29,219,COVID-19,1,Vaccinated,1328976,367,876,0.07
2020-12-29,219,COVID-19,2,DosesAdministered,1328976,0,0,
2020-12-29,219,COVID-19,2,FullyVaccinated,1328976,0,0,0
2020-12-29,219,COVID-19,3,DosesAdministered,1328976,0,0,
2020-12-29,219,COVID-19,3,FullyVaccinated,1328976,0,0,0
2020-12-29,219,COVID-19,4,DosesAdministered,1328976,0,0,
2020-12-29,219,COVID-19,4,FullyVaccinated,1328976,0,0,0
2020-12-30,219,COVID-19,1,DosesAdministered,1328976,1013,1889,
2020-12-30,219,COVID-19,1,FullyVaccinated,1328976,15,35,0
2020-12-30,219,COVID-19,1,Vaccinated,1328976,1013,1889,0.14
2020-12-30,219,COVID-19,2,DosesAdministered,1328976,0,0,
2020-12-30,219,COVID-19,2,FullyVaccinated,1328976,0,0,0
2020-12-30,219,COVID-19,3,DosesAdministered,1328976,0,0,
2020-12-30,219,COVID-19,3,FullyVaccinated,1328976,0,0,0
2020-12-30,219,COVID-19,4,DosesAdministered,1328976,0,0,
2020-12-30,219,COVID-19,4,FullyVaccinated,1328976,0,0,0
2020-12-31,219,COVID-19,1,DosesAdministered,1328976,586,2475,
2020-12-31,219,COVID-19,1,FullyVaccinated,1328976,15,50,0
2020-12-31,219,COVID-19,1,Vaccinated,1328976,586,2475,0.19
2020-12-31,219,COVID-19,2,DosesAdministered,1328976,0,0,
2020-12-31,219,COVID-19,2,FullyVaccinated,1328976,0,0,0
2020-12-31,219,COVID-19,3,DosesAdministered,1328976,0,0,
2020-12-31,219,COVID-19,3,FullyVaccinated,1328976,0,0,0
2020-12-31,219,COVID-19,4,DosesAdministered,1328976,0,0,
2020-12-31,219,COVID-19,4,FullyVaccinated,1328976,0,0,0
2021-01-01,219,COVID-19,1,DosesAdministered,1330068,0,2475,
2021-01-01,219,COVID-19,1,FullyVaccinated,1330068,0,50,0
2021-01-01,219,COVID-19,1,Vaccinated,1330068,0,2475,0.19
2021-01-01,219,COVID-19,2,DosesAdministered,1330068,0,0,
2021-01-01,219,COVID-19,2,FullyVaccinated,1330068,0,0,0
2021-01-01,219,COVID-19,3,DosesAdministered,1330068,0,0,
2021-01-01,219,COVID-19,3,FullyVaccinated,1330068,0,0,0
2021-01-01,219,COVID-19,4,DosesAdministered,1330068,0,0,
2021-01-01,219,COVID-19,4,FullyVaccinated,1330068,0,0,0
2021-01-02,219,COVID-19,1,DosesAdministered,1330068,30,2505,
2021-01-02,219,COVID-19,1,FullyVaccinated,1330068,1,51,0
2021-01-02,219,COVID-19,1,Vaccinated,1330068,30,2505,0.19
2021-01-02,219,COVID-19,2,DosesAdministered,1330068,0,0,
2021-01-02,219,COVID-19,2,FullyVaccinated,1330068,0,0,0
2021-01-02,219,COVID-19,3,DosesAdministered,1330068,0,0,
2021-01-02,219,COVID-19,3,FullyVaccinated,1330068,0,0,0
2021-01-02,219,COVID-19,4,DosesAdministered,1330068,0,0,
2021-01-02,219,COVID-19,4,FullyVaccinated,1330068,0,0,0
2021-01-03,219,COVID-19,1,DosesAdministered,1330068,18,2523,
2021-01-03,219,COVID-19,1,FullyVaccinated,1330068,0,51,0
2021-01-03,219,COVID-19,1,Vaccinated,1330068,18,2523,0.19
2021-01-03,219,COVID-19,2,DosesAdministered,1330068,0,0,
2021-01-03,219,COVID-19,2,FullyVaccinated,1330068,0,0,0
2021-01-03,219,COVID-19,3,DosesAdministered,1330068,0,0,
2021-01-03,219,COVID-19,3,FullyVaccinated,1330068,0,0,0
2021-01-03,219,COVID-19,4,DosesAdministered,1330068,0,0,
2021-01-03,219,COVID-19,4,FullyVaccinated,1330068,0,0,0
2021-01-04,219,COVID-19,1,DosesAdministered,1330068,642,3165,
2021-01-04,219,COVID-19,1,FullyVaccinated,1330068,43,94,0.01
2021-01-04,219,COVID-19,1,Vaccinated,1330068,642,3165,0.24
2021-01-04,219,COVID-19,2,DosesAdministered,1330068,0,0,
2021-01-04,219,COVID-19,2,FullyVaccinated,1330068,0,0,0
2021-01-04,219,COVID-19,3,DosesAdministered,1330068,0,0,
2021-01-04,219,COVID-19,3,FullyVaccinated,1330068,0,0,0
2021-01-04,219,COVID-19,4,DosesAdministered,1330068,0,0,
2021-01-04,219,COVID-19,4,FullyVaccinated,1330068,0,0,0
2021-01-05,219,COVID-19,1,DosesAdministered,1330068,1812,4977,
2021-01-05,219,COVID-19,1,FullyVaccinated,1330068,34,128,0.01
2021-01-05,219,COVID-19,1,Vaccinated,1330068,1810,4975,0.37
2021-01-05,219,COVID-19,2,DosesAdministered,1330068,0,0,
2021-01-05,219,COVID-19,2,FullyVaccinated,1330068,0,0,0
2021-01-05,219,COVID-19,3,DosesAdministered,1330068,0,0,
2021-01-05,219,COVID-19,3,FullyVaccinated,1330068,0,0,0
2021-01-05,219,COVID-19,4,DosesAdministered,1330068,0,0,
2021-01-05,219,COVID-19,4,FullyVaccinated,1330068,0,0,0
2021-01-06,219,COVID-19,1,DosesAdministered,1330068,1611,6588,
2021-01-06,219,COVID-19,1,FullyVaccinated,1330068,27,155,0.01
2021-01-06,219,COVID-19,1,Vaccinated,1330068,1611,6586,0.5
2021-01-06,219,COVID-19,2,DosesAdministered,1330068,1,1,
2021-01-06,219,COVID-19,2,FullyVaccinated,1330068,1,1,0
2021-01-06,219,COVID-19,3,DosesAdministered,1330068,0,0,
2021-01-06,219,COVID-19,3,FullyVaccinated,1330068,0,0,0
2021-01-06,219,COVID-19,4,DosesAdministered,1330068,0,0,
2021-01-06,219,COVID-19,4,FullyVaccinated,1330068,0,0,0
2021-01-07,219,COVID-19,1,DosesAdministered,1330068,1342,7930,
2021-01-07,219,COVID-19,1,FullyVaccinated,1330068,23,178,0.01
2021-01-07,219,COVID-19,1,Vaccinated,1330068,1342,7928,0.6
2021-01-07,219,COVID-19,2,DosesAdministered,1330068,0,1,
2021-01-07,219,COVID-19,2,FullyVaccinated,1330068,0,1,0
2021-01-07,219,COVID-19,3,DosesAdministered,1330068,0,0,
2021-01-07,219,COVID-19,3,FullyVaccinated,1330068,0,0,0
2021-01-07,219,COVID-19,4,DosesAdministered,1330068,0,0,
2021-01-07,219,COVID-19,4,FullyVaccinated,1330068,0,0,0
2021-01-08,219,COVID-19,1,DosesAdministered,1330068,2214,10144,
2021-01-08,219,COVID-19,1,FullyVaccinated,1330068,41,219,0.02
2021-01-08,219,COVID-19,1,Vaccinated,1330068,2214,10142,0.76
2021-01-08,219,COVID-19,2,DosesAdministered,1330068,0,1,
2021-01-08,219,COVID-19,2,FullyVaccinated,1330068,0,1,0
2021-01-08,219,COVID-19,3,DosesAdministered,1330068,0,0,
2021-01-08,219,COVID-19,3,FullyVaccinated,1330068,0,0,0
2021-01-08,219,COVID-19,4,DosesAdministered,1330068,0,0,
2021-01-08,219,COVID-19,4,FullyVaccinated,1330068,0,0,0
2021-01-09,219,COVID-19,1,DosesAdministered,1330068,551,10695,
2021-01-09,219,COVID-19,1,FullyVaccinated,1330068,11,230,0.02
2021-01-09,219,COVID-19,1,Vaccinated,1330068,551,10693,0.8
2021-01-09,219,COVID-19,2,DosesAdministered,1330068,0,1,
2021-01-09,219,COVID-19,2,FullyVaccinated,1330068,0,1,0
2021-01-09,219,COVID-19,3,DosesAdministered,1330068,0,0,
2021-01-09,219,COVID-19,3,FullyVaccinated,1330068,0,0,0
2021-01-09,219,COVID-19,4,DosesAdministered,1330068,0,0,
2021-01-09,219,COVID-19,4,FullyVaccinated,1330068,0,0,0
2021-01-10,219,COVID-19,1,DosesAdministered,1330068,223,10918,
2021-01-10,219,COVID-19,1,FullyVaccinated,1330068,1,231,0.02
2021-01-10,219,COVID-19,1,Vaccinated,1330068,223,10916,0.82
2021-01-10,219,COVID-19,2,DosesAdministered,1330068,0,1,
2021-01-10,219,COVID-19,2,FullyVaccinated,1330068,0,1,0
2021-01-10,219,COVID-19,3,DosesAdministered,1330068,0,0,
2021-01-10,219,COVID-19,3,FullyVaccinated,1330068,0,0,0
2021-01-10,219,COVID-19,4,DosesAdministered,1330068,0,0,
2021-01-10,219,COVID-19,4,FullyVaccinated,1330068,0,0,0
2021-01-11,219,COVID-19,1,DosesAdministered,1330068,849,11767,
2021-01-11,219,COVID-19,1,FullyVaccinated,1330068,33,264,0.02
2021-01-11,219,COVID-19,1,Vaccinated,1330068,849,11765,0.88
2021-01-11,219,COVID-19,2,DosesAdministered,1330068,0,1,
2021-01-11,219,COVID-19,2,FullyVaccinated,1330068,0,1,0
2021-01-11,219,COVID-19,3,DosesAdministered,1330068,0,0,
2021-01-11,219,COVID-19,3,FullyVaccinated,1330068,0,0,0
2021-01-11,219,COVID-19,4,DosesAdministered,1330068,0,0,
2021-01-11,219,COVID-19,4,FullyVaccinated,1330068,0,0,0
2021-01-12,219,COVID-19,1,DosesAdministered,1330068,1580,13347,
2021-01-12,219,COVID-19,1,FullyVaccinated,1330068,43,307,0.02
2021-01-12,219,COVID-19,1,Vaccinated,1330068,1580,13345,1
2021-01-12,219,COVID-19,2,DosesAdministered,1330068,0,1,
2021-01-12,219,COVID-19,2,FullyVaccinated,1330068,0,1,0
2021-01-12,219,COVID-19,3,DosesAdministered,1330068,0,0,
2021-01-12,219,COVID-19,3,FullyVaccinated,1330068,0,0,0
2021-01-12,219,COVID-19,4,DosesAdministered,1330068,0,0,
2021-01-12,219,COVID-19,4,FullyVaccinated,1330068,0,0,0
2021-01-13,219,COVID-19,1,DosesAdministered,1330068,1394,14741,
2021-01-13,219,COVID-19,1,FullyVaccinated,1330068,110,417,0.03
2021-01-13,219,COVID-19,1,Vaccinated,1330068,1394,14739,1.11
2021-01-13,219,COVID-19,2,DosesAdministered,1330068,0,1,
